id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4391572853,Gleb M. Shuvalov|Sergey A. Kostyrko|Holm Altenbach,https://openalex.org/A5053417351|https://openalex.org/A5063936523|https://openalex.org/A5047003629,https://orcid.org/0000-0002-9039-4888|https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0003-3502-9324,RU|RU|DE,St Petersburg University|St Petersburg University|Otto-von-Guericke University Magdeburg,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I95793202,True|False|False,,6,https://openalex.org/I172901346,Interplay of surface and bulk elasticity in morphological stability of ultra-thin film coatings,https://doi.org/10.1007/s00161-024-01279-3,Russian Science Foundation,1.674,False,en,False,closed,Continuum Mechanics and Thermodynamics,https://openalex.org/S60797522,0935-1175,journal,Composite Material Mechanics,2024-02-06,2024,article
https://openalex.org/W2800781879,Sergey A. Kostyrko|Mikhail A. Grekov|Holm Altenbach,https://openalex.org/A5063936523|https://openalex.org/A5000811161|https://openalex.org/A5047003629,https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0003-3502-9324,RU|RU|DE,St Petersburg University|St Petersburg University|Otto-von-Guericke University Magdeburg,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I95793202,True|False|False,,4,https://openalex.org/I172901346,A model of nanosized thin film coating with sinusoidal interface,https://doi.org/10.1063/1.5034692,,0.7771,False,en,False,closed,AIP conference proceedings,https://openalex.org/S2764696622,0094-243X,journal,Numerical methods in engineering,2018-01-01,2018,article
https://openalex.org/W4312850557,Sergey A. Kostyrko|Mikhail A. Grekov|Holm Altenbach,https://openalex.org/A5063936523|https://openalex.org/A5000811161|https://openalex.org/A5047003629,https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0003-3502-9324,RU|RU|DE,St Petersburg University|St Petersburg University|Otto-von-Guericke University Magdeburg,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I95793202,True|False|False,,4,https://openalex.org/I172901346,Stress Distribution at the Wavy Surface of a Solid Incorporating Surface Stresses and Surface Tension,https://doi.org/10.1007/978-3-031-18393-5_10,,5.1291,False,en,False,closed,Advanced structured materials,https://openalex.org/S4210187541,1869-8433,book series,Numerical methods in engineering,2022-01-01,2022,book-chapter
https://openalex.org/W2189074552,Sergey A. Kostyrko|Gleb M. Shuvalov,https://openalex.org/A5063936523|https://openalex.org/A5053417351,https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0002-9039-4888,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,5,https://openalex.org/I172901346,Morphological stability of multilayer film surface during diffusion processes,https://doi.org/10.1109/scp.2015.7342172,Russian Foundation for Basic Research,1.3897,False,en,False,closed,,,,,"Adhesion, Friction, and Surface Interactions",2015-10-01,2015,article
https://openalex.org/W3081363421,Gleb M. Shuvalov|Aleksandra B. Vakaeva|Denis A. Shamsutdinov|Sergey A. Kostyrko,https://openalex.org/A5053417351|https://openalex.org/A5012330698|https://openalex.org/A5029203435|https://openalex.org/A5063936523,https://orcid.org/0000-0002-9039-4888|https://orcid.org/0000-0002-0925-1143||https://orcid.org/0000-0003-3074-0969,RU|RU|RU|RU,St Petersburg University|St Petersburg University|St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346,True|False|False|False,,5,https://openalex.org/I172901346,The effect of nonlinear terms in boundary perturbation method on stress concentration near the nanopatterned bimaterial interface,https://doi.org/10.21638/11701/spbu10.2020.208,Russian Science Foundation,0.599,False,en,True,diamond,Vestnik of Saint Petersburg University Applied Mathematics Computer Science Control Processes,https://openalex.org/S4210190943,1811-9905,journal,Composite Material Mechanics,2020-01-01,2020,article
https://openalex.org/W2799685694,Sergey A. Kostyrko|Gleb M. Shuvalov,https://openalex.org/A5063936523|https://openalex.org/A5053417351,https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0002-9039-4888,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,3,https://openalex.org/I172901346,Stability analysis of nanoscale surface patterns in stressed solids,https://doi.org/10.1063/1.5034691,Russian Foundation for Basic Research,0.5883,False,en,False,closed,AIP conference proceedings,https://openalex.org/S2764696622,0094-243X,journal,Composite Material Mechanics,2018-01-01,2018,article
https://openalex.org/W2247887368,Mikhail A. Grekov|Sergey A. Kostyrko,https://openalex.org/A5000811161|https://openalex.org/A5063936523,https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0003-3074-0969,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,4,https://openalex.org/I172901346,Morphological Evolution in Heteroepitaxial Thin Film Structures at the Nanoscale,https://doi.org/10.4028/www.scientific.net/ddf.364.112,,0.6948,False,en,False,closed,"Defect and diffusion forum/Diffusion and defect data, solid state data. Part A, Defect and diffusion forum",https://openalex.org/S82754758,1012-0386,journal,Composite Material Mechanics,2015-06-01,2015,article
https://openalex.org/W2963919324,Aleksandra B. Vakaeva|Gleb M. Shuvalov|Sergey A. Kostyrko|Mikhail A. Grekov,https://openalex.org/A5012330698|https://openalex.org/A5053417351|https://openalex.org/A5063936523|https://openalex.org/A5000811161,https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0002-9039-4888|https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0003-4379-4456,RU|RU|RU|RU,St Petersburg University|St Petersburg University|St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346,True|False|False|False,,2,https://openalex.org/I172901346,The finite element modeling of an elastic body with a nanometer surface relief,https://doi.org/10.1063/1.5114300,Russian Science Foundation,0.3612,False,en,False,closed,AIP conference proceedings,https://openalex.org/S2764696622,0094-243X,journal,Composite Material Mechanics,2019-01-01,2019,article
https://openalex.org/W3204036013,Aleksandra B. Vakaeva|Gleb M. Shuvalov|Sergey A. Kostyrko,https://openalex.org/A5012330698|https://openalex.org/A5053417351|https://openalex.org/A5063936523,https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0002-9039-4888|https://orcid.org/0000-0003-3074-0969,RU|RU|RU,St Petersburg University|St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346,True|False|False,,1,https://openalex.org/I172901346,Evolution of the cylindrical nanopore morphology under diffusion processes,https://doi.org/10.18149/mpm.4732021_4,,0.1466,False,en,True,green,Materials Physics and Mechanics,https://openalex.org/S7407052756,,repository,Composite Material Mechanics,2021-10-04,2021,article
https://openalex.org/W4226519378,Sergey A. Kostyrko|Mikhail A. Grekov|Takayuki Kitamura,https://openalex.org/A5063936523|https://openalex.org/A5000811161|https://openalex.org/A5022753277,https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0002-8625-1630,RU|RU|JP,St Petersburg University|St Petersburg University|Kyoto Katsura Hospital|Kyoto University,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I4210140509|https://openalex.org/I22299242,True|False|False,,1,https://openalex.org/I172901346,Interaction of Misfit Dislocations with Perturbated Surface in Epitaxial Thin Film,https://doi.org/10.1007/978-3-030-87966-2_100,,1.2823,False,en,False,closed,Lecture notes in control and information sciences - proceedings,https://openalex.org/S4210195311,2522-5383,book series,Composite Material Mechanics,2022-01-01,2022,book-chapter
https://openalex.org/W3106647577,Aleksandra B. Vakaeva|Gleb M. Shuvalov|Sergey A. Kostyrko,https://openalex.org/A5012330698|https://openalex.org/A5053417351|https://openalex.org/A5063936523,https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0002-9039-4888|https://orcid.org/0000-0003-3074-0969,RU|RU|RU,St Petersburg University|St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346,True|False|False,,1,https://openalex.org/I172901346,Two approaches to study stress concentration and distribution in an elastic body with a nearly circular nanohole,https://doi.org/10.1063/5.0026622,,0.1497,False,en,False,closed,AIP conference proceedings,https://openalex.org/S2764696622,0094-243X,journal,Composite Material Mechanics,2020-01-01,2020,article
https://openalex.org/W4411014574,Sergey A. Kostyrko|Mikhail A. Grekov|Holm Altenbach,https://openalex.org/A5063936523|https://openalex.org/A5000811161|https://openalex.org/A5047003629,https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0003-3502-9324,RU|RU|DE,St Petersburg University|St Petersburg University|Otto-von-Guericke University Magdeburg,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I95793202,True|False|False,,0,https://openalex.org/I172901346,Effect of Nanosized Surface Roughness in Solids with the Account of Steigmann–Ogden Mode,https://doi.org/10.1007/978-3-031-90022-8_24,,0.0,False,en,False,closed,Advanced structured materials,https://openalex.org/S4210187541,1869-8433,book series,Composite Material Mechanics,2025-01-01,2025,book-chapter
