id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2771516390,Konstantin Аmelin|Oleg Granichin|Natalia Kizhaeva|Zeev Volkovich,https://openalex.org/A5071018196|https://openalex.org/A5056320794|https://openalex.org/A5019183428|https://openalex.org/A5056581027,https://orcid.org/0000-0002-3643-5132|https://orcid.org/0000-0002-3631-7347||https://orcid.org/0000-0003-4636-9762,RU|RU|RU|IL,St Petersburg University|St Petersburg University|Institute of Problems of Mechanical Engineering|St Petersburg University|ORT Braude College,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I4210142628|https://openalex.org/I172901346|https://openalex.org/I231622532,False|False|False|True,,17,https://openalex.org/I231622532,Patterning of writing style evolution by means of dynamic similarity,https://doi.org/10.1016/j.patcog.2017.12.011,Russian Science Foundation,1.2462,False,en,False,closed,Pattern Recognition,https://openalex.org/S414566,0031-3203,journal,Authorship Attribution and Profiling,2017-12-11,2017,article
https://openalex.org/W1909050187,Oleg Granichin|Natalia Kizhaeva|Dmitry S. Shalymov|Zeev Volkovich,https://openalex.org/A5056320794|https://openalex.org/A5019183428|https://openalex.org/A5083406921|https://openalex.org/A5056581027,https://orcid.org/0000-0002-3631-7347||https://orcid.org/0000-0002-8794-7306|https://orcid.org/0000-0003-4636-9762,RU|RU|RU|IL,St Petersburg University|Institute of Problems of Mechanical Engineering|St Petersburg University|St Petersburg University|ORT Braude College,https://openalex.org/I172901346|https://openalex.org/I4210142628|https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I231622532,True|False|False|False,,3,https://openalex.org/I172901346|https://openalex.org/I4210142628,Writing style determination using the KNN text model,https://doi.org/10.1109/isic.2015.7307296,,0.8629,False,en,False,closed,,,,,Authorship Attribution and Profiling,2015-09-01,2015,article
https://openalex.org/W4382752183,Victoria Erofeeva|Natalia Kizhaeva,https://openalex.org/A5052757899|https://openalex.org/A5019183428,https://orcid.org/0000-0001-5107-0293|,RU|RU,Institute of Problems of Mechanical Engineering|St Petersburg University,https://openalex.org/I4210142628|https://openalex.org/I172901346,False|True,cc-by,3,https://openalex.org/I172901346,Partially observed distributed optimization under unknown-but-bounded disturbances,https://doi.org/10.35470/2226-4116-2023-12-1-16-22,Saint Petersburg State University|Russian Science Foundation,0.6088,False,en,True,diamond,Cybernetics and Physics,https://openalex.org/S4210225213,2223-7038,journal,Distributed Control Multi-Agent Systems,2023-06-30,2023,article
https://openalex.org/W4387914590,Elena Borisoglebskaya|Victoria Erofeeva|Oleg Granichin|Yury Ivanskiy|Natalia Kizhaeva,https://openalex.org/A5093120796|https://openalex.org/A5052757899|https://openalex.org/A5056320794|https://openalex.org/A5061280273|https://openalex.org/A5019183428,|https://orcid.org/0000-0001-5107-0293|https://orcid.org/0000-0002-3631-7347|https://orcid.org/0000-0001-9773-2483|,RU|RU|RU|RU|RU,St Petersburg University|Institute of Problems of Mechanical Engineering|Institute of Problems of Mechanical Engineering|Institute of Problems of Mechanical Engineering|St Petersburg University|Institute of Problems of Mechanical Engineering|St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I4210142628|https://openalex.org/I4210142628|https://openalex.org/I4210142628|https://openalex.org/I172901346|https://openalex.org/I4210142628|https://openalex.org/I172901346|https://openalex.org/I172901346,True|False|False|False|False,,2,https://openalex.org/I172901346|https://openalex.org/I4210142628,Distributed Load Balancing Based on Modified Local Voting Protocol,https://doi.org/10.1109/codit58514.2023.10284426,Saint Petersburg State University|Ministerstwo Edukacji i Nauki,0.4024,False,en,False,closed,,,,,Distributed Control Multi-Agent Systems,2023-07-03,2023,article
https://openalex.org/W2761599943,Natalia Kizhaeva|Zeev Volkovich|Oleg Granichin|Olga Granichina|V. I. Kiyaev,https://openalex.org/A5019183428|https://openalex.org/A5056581027|https://openalex.org/A5056320794|https://openalex.org/A5003496605|https://openalex.org/A5025685690,|https://orcid.org/0000-0003-4636-9762|https://orcid.org/0000-0002-3631-7347||https://orcid.org/0000-0002-5103-1216,RU|IL|RU|RU|RU,St Petersburg University|ORT Braude College|ITMO University|St Petersburg University|Herzen University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I231622532|https://openalex.org/I173089394|https://openalex.org/I172901346|https://openalex.org/I4210101320|https://openalex.org/I172901346,True|False|False|False|False,,0,https://openalex.org/I172901346,Spectral profiling of writing process,https://doi.org/10.1109/ccta.2017.8062757,,0.0,False,en,False,closed,2017 IEEE Conference on Control Technology and Applications (CCTA),https://openalex.org/S4306498159,,conference,Authorship Attribution and Profiling,2017-08-01,2017,article
