paperid,institutionid,authorids,year
W3045314851,I172901346,['A5081686475'],2020
W3046505812,I172901346,['A5001315014' 'A5044955638'],2020
W3081942845,I172901346,['A5045131182' 'A5032981894'],2020
W3096452931,I172901346,['A5013441451'],2020
W3103102491,I172901346,['A5038721720' 'A5046080051'],2020
W4387268256,I172901346,['A5067362124'],2023
W2324050632,I172901346,['A5024415542'],2015
W2733915217,I172901346,['A5080499944' 'A5089436983' 'A5073981545'],2017
W2802531279,I172901346,['A5067420397' 'A5048029916' 'A5067362124' 'A5066905545' 'A5090448794'],2018
W2951570680,I172901346,['A5010950174'],2019
W2730941574,I172901346,['A5057076088' 'A5053021737'],2017
W3106586323,I172901346,['A5074026129'],2020
W2912690945,I172901346,"['A5015876222' 'A5024963964' 'A5009643537' 'A5085306120' 'A5087047255'
 'A5005373429' 'A5058392037']",2019
W2913695494,I172901346,['A5068346610' 'A5089913993'],2019
W2926058445,I172901346,['A5074738902'],2019
W2927388720,I172901346,['A5074738902'],2019
W2928636953,I172901346,['A5062216253'],2019
W2946742771,I172901346,['A5062718515'],2018
W2953526352,I172901346,['A5066547478'],2019
W2955382335,I172901346,['A5057569178' 'A5054744381'],2019
W2976111356,I172901346,['A5022794116' 'A5090261862' 'A5054248936'],2019
W2998629278,I172901346,['A5025735540'],2017
W3001628431,I172901346,['A5063455994'],2019
W3004982088,I172901346,['A5058544811' 'A5112887533'],2019
W4221009379,I172901346,['A5087842724'],2022
W4248287232,I172901346,['A5038850621'],2015
W4252994250,I172901346,['A5022692272'],2021
W4285271622,I172901346,['A5070325553'],2022
W3206302747,I172901346,['A5005647628'],2021
W2336664516,I172901346,['A5068463522' 'A5086293461' 'A5025565201' 'A5019336215'],2015
W2802937741,I172901346,['A5048451393' 'A5066515109'],2018
W2884347890,I172901346,['A5011127779'],2018
W2937972468,I172901346,['A5001245571' 'A5087004438' 'A5015800562'],2019
W2959419764,I172901346,['A5055666139' 'A5050900487' 'A5050229522' 'A5069649902'],2019
W2268822347,I172901346,['A5040999914' 'A5016499070' 'A5077561455'],2016
W2335942700,I172901346,['A5054206630'],2015
W2607534585,I172901346,['A5086444164'],2017
W2994894070,I172901346,['A5021204100' 'A5083808886' 'A5029760527'],2016
W2269547263,I172901346,['A5113829704'],2015
W2999531031,I172901346,['A5021959405'],2020
W3006953540,I172901346,['A5039294488'],2020
W3092656192,I172901346,['A5076828696' 'A5061231319' 'A5046668787'],2020
W3128540973,I172901346,['A5003132450'],2021
W3182640634,I172901346,['A5100686715' 'A5002335830' 'A5021924074'],2021
W2017863605,I172901346,['A5060018093' 'A5074891387'],2015
W3206832099,I172901346,['A5020171307'],2021
W2767214173,I172901346,['A5006629535' 'A5090027546' 'A5036614652'],2017
W2944618872,I172901346,['A5089884892' 'A5089884892'],2019
W4281663919,I172901346,['A5091422875' 'A5086074785' 'A5089912607' 'A5059165292'],2022
W4285535709,I172901346,['A5032102962' 'A5074653152'],2021
W4288035279,I172901346,['A5044670614'],2022
W4292589028,I172901346,['A5108818171' 'A5090696746'],2022
W2727902958,I172901346,['A5011694947' 'A5080768300'],2017
W2997298778,I172901346,['A5077048755' 'A5040899065' 'A5008185864'],2019
W2982048124,I172901346,['A5002499751'],2019
W4240241701,I172901346,['A5074659964' 'A5083808886'],2020
W2973696327,I172901346,['A5016275704'],2019
W2337728537,I172901346,['A5074346123'],2016
W2511470375,I172901346,['A5077826899'],2016
W2532807837,I172901346,['A5071092317' 'A5076178477' 'A5071160455' 'A5107858684'],2016
W2537511255,I172901346,['A5070645793' 'A5002446747' 'A5055644266'],2016
W2752264520,I172901346,['A5046383624'],2017
W2794119675,I172901346,['A5041018573'],2017
W2977713805,I172901346,['A5017707982'],2019
W2807461089,I172901346,['A5061993682'],2017
W3004284564,I172901346,['A5068473289' 'A5008863283'],2017
W2530918927,I172901346,['A5028284314' 'A5069555268' 'A5064436304' 'A5029760527' 'A5083808886'],2016
W3082832471,I172901346,['A5049468217'],2020
W3035347085,I172901346,['A5100774709' 'A5055537237'],2020
W2751216707,I172901346,['A5063623458' 'A5058872247' 'A5005268459' 'A5071979115'],2017
W2885712926,I172901346,['A5010392700' 'A5048073029' 'A5045921703'],2018
W2911657228,I172901346,"['A5103436204' 'A5110496507' 'A5020859619' 'A5078465143' 'A5035717539'
 'A5085317581']",2018
W2321678119,I172901346,['A5039485823' 'A5061716343'],2015
W2517016849,I172901346,['A5028875407'],2016
W2528336773,I172901346,['A5018350080' 'A5053351584'],2016
W2164331204,I172901346,['A5011495268'],2015
W2902042370,I172901346,['A5078134916'],2018
W2911517752,I172901346,['A5051765078'],2018
W2965188852,I172901346,['A5073096334'],2019
W2759090066,I172901346,['A5072894139' 'A5008729417'],2017
W3025922351,I172901346,['A5015876222' 'A5024963964' 'A5113942675' 'A5011304300'],2020
W2792123901,I172901346,['A5040666019' 'A5034578325' 'A5021696330'],2018
W2969465847,I172901346,['A5006686816' 'A5068921707' 'A5033683692'],2019
W3152748225,I172901346,['A5081170088'],2021
W3212384561,I172901346,['A5034951494' 'A5068904468' 'A5032040695' 'A5010877927'],2021
W4322501768,I172901346,['A5110962283'],2023
W2223279834,I172901346,['A5017019549'],2016
W2912853623,I172901346,['A5066700628'],2019
W4292072123,I172901346,['A5038906000'],2022
W4292072439,I172901346,['A5050998381'],2022
W4394819528,I172901346,['A5037236882' 'A5067125196' 'A5057484344'],2024
W2550971735,I172901346,['A5000556704' 'A5021990925'],2016
W2564782523,I172901346,['A5000407602'],2016
W2734651405,I172901346,['A5006677392' 'A5110569218' 'A5025516565'],2017
W2757615424,I172901346,['A5005445084'],2017
W2951843013,I172901346,['A5025579022' 'A5103855246' 'A5103855245'],2019
W2952978947,I172901346,"['A5022613552' 'A5114031937' 'A5109346212' 'A5012660343' 'A5048770752'
 'A5108685823' 'A5031065092' 'A5085227127']",2016
W2954757182,I172901346,['A5001381048'],2016
W2964144068,I172901346,['A5108188375'],2019
W2970595725,I172901346,['A5077272276'],2019
W2971857086,I172901346,['A5012592850' 'A5088007169'],2019
W2606972309,I172901346,['A5045172496' 'A5012913220'],2017
W2607984199,I172901346,['A5045172496' 'A5012913220'],2017
