paperid,institutionid,authorids,year
W4378191781,I172901346,['A5112646470' 'A5083553748' 'A5060695902'],2023
W4381743685,I172901346,['A5013422328' 'A5085449394' 'A5031941080' 'A5084914244' 'A5012967296'],2023
W4382762943,I172901346,['A5103213243' 'A5065458320' 'A5042542841'],2022
W4382894815,I172901346,['A5112991379' 'A5092381380' 'A5037813225'],2023
W4383817158,I172901346,['A5112956912'],2023
W4315620449,I172901346,['A5063649629'],2023
W2803728340,I172901346,['A5077771301'],2018
W2904380570,I172901346,['A5076319188' 'A5079065954' 'A5062323542'],2018
W2795565245,I172901346,['A5055700936'],2018
W2884069374,I172901346,['A5005455575' 'A5005774635' 'A5069244029'],2018
W2902547250,I172901346,['A5086988405' 'A5034394479'],2018
W4386316697,I172901346,['A5026155989'],2023
W2883598415,I172901346,"['A5049312578' 'A5060132739' 'A5101214156' 'A5034578325' 'A5021696330'
 'A5046561608' 'A5056482521' 'A5008278118' 'A5051190110']",2018
W2373414106,I172901346,['A5059394953' 'A5090546466'],2015
W2741518026,I172901346,['A5030547649' 'A5037332955'],2017
W3012523260,I172901346,['A5081423931'],2020
W3087968895,I172901346,['A5033533538'],2020
W4386077092,I172901346,['A5043073230' 'A5062882228' 'A5077412949'],2023
W2731163724,I172901346,['A5032200861'],2015
W3010646351,I172901346,['A5046876128'],2020
W2896514444,I172901346,['A5005895283' 'A5032495470' 'A5023950095' 'A5001933287' 'A5055555751'],2018
W2912651585,I172901346,['A5057650588'],2018
W2942349934,I172901346,['A5068847009'],2019
W2805853705,I172901346,['A5039485823'],2018
W3088590165,I172901346,"['A5039294488' 'A5017181531' 'A5080930039' 'A5112222224' 'A5049521343'
 'A5005587350']",2020
W3111693613,I172901346,['A5035031316'],2020
W1516004486,I172901346,['A5039294488'],2015
W2767371630,I172901346,['A5023843319' 'A5005647628'],2017
W2802797411,I172901346,['A5087691744'],2018
W2164532300,I172901346,['A5025030813'],2015
W2332937740,I172901346,['A5069600674' 'A5090546466'],2016
W2337740872,I172901346,['A5007172509' 'A5005210012' 'A5015336274'],2015
W2344340499,I172901346,['A5014086237' 'A5065641757' 'A5112172975' 'A5086952226' 'A5010770592'],2015
W2782402219,I172901346,['A5058431701' 'A5110941521' 'A5079065954'],2018
W2954510749,I172901346,['A5010839364'],2019
W2968544473,I172901346,['A5048924419'],2019
W2990507534,I172901346,['A5017707982'],2019
W3000051227,I172901346,['A5043976744'],2019
W3007518098,I172901346,['A5026723267'],2017
W3207769307,I172901346,['A5084183213' 'A5038789718'],2021
W4210382031,I172901346,['A5008311963' 'A5052546470'],2021
W2989186665,I172901346,['A5065133288' 'A5022446496' 'A5109441754'],2019
W2999797343,I172901346,['A5050511397' 'A5072208530'],2019
W2278432386,I172901346,['A5074964632' 'A5053351584'],2015
W2505983168,I172901346,['A5009576646'],2016
W2580228508,I172901346,['A5010084879'],2016
W3180577697,I172901346,['A5049458503' 'A5068847009' 'A5058744232'],2021
W2975583311,I172901346,['A5073353012'],2019
W2982418181,I172901346,['A5071182979'],2019
W2985972343,I172901346,['A5048489110'],2019
W2993658439,I172901346,['A5032740399'],2019
W2326747948,I172901346,['A5037406502'],2015
W3200661562,I172901346,['A5069868430'],2021
W3216143148,I172901346,"['A5067553290' 'A5087689943' 'A5070452683' 'A5014956171' 'A5082868304'
 'A5070424939']",2021
W4285815052,I172901346,['A5007839376'],2022
W4289768974,I172901346,['A5047874759' 'A5007128532' 'A5083175703'],2022
W4313226910,I172901346,['A5048182180' 'A5065111816'],2022
W4281776105,I172901346,['A5036291084' 'A5110917858'],2022
W4311791514,I172901346,['A5018347912' 'A5069749111' 'A5048924419'],2022
W4386997231,I172901346,['A5018789263'],2023
W4388722651,I172901346,['A5056636986'],2023
W4401615960,I172901346,['A5106532398'],2024
W4405589098,I172901346,['A5062124775'],2024
W2518648172,I172901346,['A5022111076'],2016
W2999691420,I172901346,['A5032552944'],2020
W3014107409,I172901346,['A5032552944'],2020
W3007247192,I172901346,['A5063964816' 'A5072707910'],2019
W3008452012,I172901346,['A5024214955'],2019
W4379472862,I172901346,['A5110986420'],2023
W2891153392,I172901346,['A5090172823' 'A5048073029'],2018
W2899165866,I172901346,['A5042652847'],2018
W2335925380,I172901346,['A5088074081'],2015
W2463324359,I172901346,['A5024967686' 'A5024664042' 'A5110863930' 'A5088526965' 'A5011836741'],2016
W4244471021,I172901346,['A5085691989'],2016
W4245501538,I172901346,['A5085691989'],2016
W4248123726,I172901346,['A5082429920' 'A5007478881' 'A5075393536'],2016
W4220917587,I172901346,['A5109202817'],2022
W4224221647,I172901346,['A5077448298'],2022
W1631914520,I172901346,['A5061878706' 'A5056317647'],2015
W2754171919,I172901346,['A5073236114'],2017
W2795006580,I172901346,['A5061918932' 'A5109451910'],2018
W2897870512,I172901346,['A5054002352'],2016
W2908565328,I172901346,['A5010084879'],2018
W2592700879,I172901346,['A5077793939'],2017
W2293283496,I172901346,['A5072234750' 'A5027631488' 'A5036703574' 'A5023566580' 'A5034999383'],2016
W4321184005,I172901346,['A5030425308'],2023
W4360788936,I172901346,['A5083864034'],2022
W2800066656,I172901346,['A5025565201'],2018
W2980155711,I172901346,['A5069303199'],2020
W3040765685,I172901346,['A5079728421'],2020
W2405873034,I172901346,['A5057076088' 'A5113896796' 'A5053021737' 'A5067720711'],2016
W4384665898,I172901346,['A5059829684' 'A5054002352'],2023
W4386160596,I172901346,['A5074085796'],2023
W4387009687,I172901346,['A5020854221'],2023
W2886995022,I172901346,['A5050889083' 'A5064846291'],2018
W3158693641,I172901346,['A5028750791'],2021
W2601611846,I172901346,['A5021086681'],2017
W3015123002,I172901346,['A5077048755' 'A5042378068' 'A5027442933' 'A5019989686'],2020
W3116384939,I172901346,['A5057860096' 'A5067553290'],2020
W3013521791,I172901346,['A5082912822'],2020
W2521094043,I172901346,['A5040002585' 'A5012624876' 'A5078135932' 'A5074385712' 'A5019829624'],2016
W4285045184,I172901346,['A5013472997'],2022
W4285090106,I172901346,['A5088023660'],2022
W4287883250,I172901346,['A5006365924' 'A5056171222'],2022
W4293203108,I172901346,['A5063260258'],2022
W4306405637,I172901346,['A5100414294'],2022
W2887283604,I172901346,['A5004417524'],2018
W2557884513,I172901346,['A5004200706'],2016
W2808519692,I172901346,['A5079889148' 'A5108166773' 'A5060063046'],2018
W2219158262,I172901346,['A5022552599'],2015
W4235697781,I172901346,['A5012013307' 'A5007095667'],2015
W2800606380,I172901346,['A5030323703' 'A5069787869'],2018
W3032477800,I172901346,['A5041100451'],2020
W3108001858,I172901346,"['A5027732270' 'A5062882228' 'A5084264398' 'A5065450699' 'A5084176538'
 'A5046917386' 'A5080342247' 'A5034708779' 'A5046561220' 'A5043073230']",2020
W3013086074,I172901346,['A5028222327' 'A5073511508'],2020
W4210890160,I172901346,['A5065955996' 'A5003766774' 'A5011899636'],2022
W2588199576,I172901346,['A5010899912' 'A5061647941'],2016
W2593561657,I172901346,['A5062824278'],2017
W2601331200,I172901346,['A5075154943'],2016
W2605438297,I172901346,['A5000475850' 'A5062637315'],2017
W2741376658,I172901346,['A5113737545' 'A5088030419' 'A5008631850'],2017
W2756729668,I172901346,['A5060433906'],2017
W2780863439,I172901346,['A5004775259'],2017
W2782913777,I172901346,['A5029760527' 'A5083808886'],2017
W2805144442,I172901346,['A5068346610' 'A5087047255' 'A5089913993'],2017
W2807144463,I172901346,['A5040249927'],2017
W3199624310,I172901346,"['A5080745016' 'A5084076743' 'A5015651029' 'A5082981302' 'A5038732811'
 'A5074419488']",2021
W3206050541,I172901346,['A5006505614' 'A5067767429' 'A5028041541' 'A5111049017' 'A5070998783'],2021
W3206160220,I172901346,['A5061052672'],2021
W3206306751,I172901346,['A5104005244'],2021
W3210574662,I172901346,['A5044125311' 'A5102711687' 'A5046269910'],2021
W2532251432,I172901346,['A5089722862' 'A5049940837' 'A5034436474' 'A5068016524'],2016
W2604671654,I172901346,['A5033194185' 'A5075665407'],2017
W2895668722,I172901346,['A5011495268' 'A5027051019' 'A5060097932'],2018
W2961743701,I172901346,['A5035144404'],2019
W2964038672,I172901346,['A5060809522'],2018
W4385632486,I172901346,['A5046281591'],2023
W2567262994,I172901346,['A5022413770' 'A5075665407'],2016
W4386220475,I172901346,"['A5033523646' 'A5029442414' 'A5016827795' 'A5060972907' 'A5067768485'
 'A5115595527']",2023
W2530316436,I172901346,['A5009539703'],2016
W2804557005,I172901346,['A5063484956'],2018
W2920836778,I172901346,['A5018839817' 'A5007805975'],2019
W3213819610,I172901346,['A5114940200'],2020
W2955778357,I172901346,['A5086171687'],2019
W4237009306,I172901346,['A5085691989'],2016
W4239132177,I172901346,['A5085691989'],2016
W4239139533,I172901346,['A5085691989'],2016
W4240710655,I172901346,['A5022435647' 'A5023769436'],2019
W4244833537,I172901346,['A5085691989'],2016
W2930157075,I172901346,['A5036614652' 'A5090027546' 'A5006629535'],2019
W2905861338,I172901346,['A5087313829' 'A5043203666' 'A5021093073'],2018
W2906386153,I172901346,['A5049105353'],2018
W2913505011,I172901346,['A5043156730'],2017
W2916254118,I172901346,['A5101800246' 'A5003711302'],2017
W2962996317,I172901346,['A5066206471'],2016
W4206586077,I172901346,['A5053135866' 'A5109493198' 'A5000107137' 'A5011346229' 'A5020739873'],2022
W4362585586,I172901346,['A5065421233'],2023
W4379650574,I172901346,['A5092107323'],2023
W4381621260,I172901346,['A5081287680'],2023
W2321002454,I172901346,['A5083808886'],2015
W2339801802,I172901346,['A5071116171'],2015
W4207048405,I172901346,['A5087842724'],2021
W4210260920,I172901346,['A5086701850'],2021
W4220744377,I172901346,['A5063954228'],2022
W4220745444,I172901346,['A5071957460' 'A5068997781'],2022
W4225530338,I172901346,['A5054235728' 'A5054362085' 'A5045690938'],2022
W2911910790,I172901346,['A5008058393' 'A5006341258' 'A5068935692'],2019
W3000902140,I172901346,['A5052856401' 'A5061861129'],2020
W3001616749,I172901346,['A5018760668' 'A5035306465' 'A5000436968'],2020
W3038362839,I172901346,['A5053828116' 'A5000244867'],2020
W3126027112,I172901346,['A5080930039'],2020
W2999026783,I172901346,['A5061960094'],2020
W2131682733,I172901346,['A5063971899'],2015
W2520135933,I172901346,['A5077118699'],2016
W2591938045,I172901346,['A5025016989'],2017
W2519307531,I172901346,['A5008237865'],2016
W3106989489,I172901346,['A5011625918' 'A5056781490' 'A5005558676' 'A5020992681' 'A5082816950'],2020
W3026132355,I172901346,['A5002887494'],2020
W3147581273,I172901346,['A5023720593'],2021
W2787987949,I172901346,['A5077048755' 'A5022248563' 'A5008185864'],2018
W2752476208,I172901346,['A5060471666' 'A5051466096' 'A5071910684' 'A5053904991'],2017
W2750691382,I172901346,['A5071558914' 'A5030157486'],2017
W2934655666,I172901346,['A5061319329'],2019
W2942063637,I172901346,['A5001948962'],2019
W3012805705,I172901346,['A5019475831'],2020
W3120156904,I172901346,['A5084389198'],2021
W3194700341,I172901346,['A5002887494'],2021
W3207506388,I172901346,['A5062484920' 'A5101940093' 'A5064187808' 'A5051559726'],2021
W4224880578,I172901346,['A5058531928' 'A5038918722'],2022
W4236938302,I172901346,['A5078134916'],2019
W2784094942,I172901346,['A5014630291' 'A5035395464' 'A5107854568'],2018
W4317103394,I172901346,['A5041394914'],2023
W2974601104,I172901346,['A5057287803' 'A5052236311' 'A5050713085'],2019
W2753709053,I172901346,['A5087691744'],2017
W2767279328,I172901346,['A5019829624'],2017
W2776150606,I172901346,['A5010541171' 'A5025851655'],2017
W4239184375,I172901346,['A5091762421' 'A5061944308'],2015
W3188406585,I172901346,['A5068789866' 'A5043077089'],2020
W3200523339,I172901346,['A5030003823' 'A5025579022'],2020
W3206332665,I172901346,['A5002582015'],2021
W4283215362,I172901346,['A5034910812'],2022
W4287564966,I172901346,['A5037229471'],2020
W3206102880,I172901346,['A5026573575' 'A5102612096'],2021
W2908641841,I172901346,['A5034410520'],2018
W2911755260,I172901346,['A5029701593' 'A5020118209' 'A5067125196'],2018
W2595584585,I172901346,['A5056056811'],2017
W2405253288,I172901346,['A5047247199'],2016
W2465289807,I172901346,['A5044557474'],2016
W2536579356,I172901346,['A5037893261' 'A5027060982' 'A5024950809'],2016
W2620517854,I172901346,['A5045172496' 'A5012913220'],2017
W2621714460,I172901346,['A5054002352' 'A5030276565'],2017
W2741448841,I172901346,['A5015537194' 'A5110777078'],2015
W2184849189,I172901346,['A5023570880'],2015
W2760886561,I172901346,['A5047122885' 'A5103284479'],2017
W2804921157,I172901346,['A5054579045'],2017
W2909472945,I172901346,['A5030270766' 'A5054250387'],2018
W3168018859,I172901346,['A5011054302'],2021
W4394955777,I172901346,['A5107854568' 'A5058632247' 'A5008706280' 'A5014499787'],2023
W4394967737,I172901346,"['A5016784777' 'A5014029841' 'A5047907248' 'A5113182794' 'A5087329797'
 'A5057800571']",2023
W4400130313,I172901346,['A5099640941'],2024
W2566395936,I172901346,['A5003820395' 'A5072232331' 'A5040735002'],2016
W2586753698,I172901346,['A5001217211'],2017
W3044959134,I172901346,['A5106417318'],2023
W4386895956,I172901346,['A5032548201' 'A5062498853' 'A5027918520'],2023
W4388478025,I172901346,['A5042724417'],2023
W4396836102,I172901346,['A5020739873' 'A5075169486'],2024
W4396836722,I172901346,['A5097633394' 'A5059705621'],2024
W2585581015,I172901346,['A5002499751'],2017
W2898948026,I172901346,['A5025222169' 'A5080125357'],2018
W2510461257,I172901346,['A5055700936' 'A5032950535'],2016
W2903997596,I172901346,"['A5056781490' 'A5082816950' 'A5011625918' 'A5030233935' 'A5002262876'
 'A5020992681' 'A5059680700' 'A5006157828' 'A5085306120']",2019
W2906004627,I172901346,['A5009608798' 'A5075547073' 'A5074182790'],2018
W2746659554,I172901346,['A5033095430'],2017
W2290309363,I172901346,['A5002499751'],2016
W2221133670,I172901346,['A5002499751' 'A5054217164'],2015
W4205253261,I172901346,['A5061237829' 'A5021882673'],2020
W1464403884,I172901346,['A5029760527' 'A5083808886'],2015
W2565043716,I172901346,['A5013325393'],2016
W2883583771,I172901346,['A5013325393'],2018
W2584345898,I172901346,['A5063800647'],2016
W4314447714,I172901346,['A5032548201' 'A5053914363' 'A5012934125' 'A5066814798' 'A5048037725'],2023
W4362678572,I172901346,['A5043242743'],2023
W2608109326,I172901346,['A5075547073'],2017
W2768470105,I172901346,['A5046383624'],2017
W3019130921,I172901346,['A5029167203'],2020
W3040197538,I172901346,['A5085653114'],2020
W3100757423,I172901346,['A5091773418' 'A5031455089'],2020
W866415864,I172901346,['A5026697991' 'A5059082026' 'A5028939561'],2015
W1577614944,I172901346,['A5079912950' 'A5026093988'],2015
W2790641439,I172901346,['A5049426329'],2016
W2520064152,I172901346,['A5025333909' 'A5061778129'],2016
W2608468790,I172901346,['A5049458503'],2017
W2735141570,I172901346,['A5112377113' 'A5065458320'],2017
W2065660488,I172901346,['A5021139035'],2015
W2923674803,I172901346,['A5031491187' 'A5047821079'],2017
W3084427972,I172901346,['A5051559726'],2020
W2605529179,I172901346,['A5075915743'],2016
W2807836428,I172901346,['A5064708133'],2018
W2902085915,I172901346,['A5035247594'],2018
W2904657622,I172901346,['A5033357437' 'A5032361933'],2018
W3213973651,I172901346,['A5050889083' 'A5075705446'],2021
W3098573802,I172901346,['A5039475384'],2015
W3116547491,I172901346,['A5077048755' 'A5064376026' 'A5042378068'],2020
W4389119539,I172901346,['A5016425865'],2023
W4313501944,I172901346,['A5113022611'],2022
W4386947823,I172901346,['A5067975410' 'A5072654278'],2023
W2895251117,I172901346,['A5089711361'],2018
W2902131207,I172901346,"['A5019627342' 'A5024016139' 'A5031290021' 'A5058470966' 'A5031197956'
 'A5072985077']",2019
W2965229775,I172901346,['A5007702748'],2019
W2965719946,I172901346,['A5064101903'],2019
W3090742190,I172901346,['A5027270481'],2022
W3137875576,I172901346,['A5004458679' 'A5023461731'],2022
W4229336665,I172901346,['A5088221970'],2022
W3043388430,I172901346,['A5040813369'],2017
W3102636225,I172901346,['A5000535204'],2020
W4297347914,I172901346,['A5002336595'],2022
W4318002408,I172901346,['A5089372593' 'A5008009747'],2022
W2271479050,I172901346,"['A5002019529' 'A5029775317' 'A5054985657' 'A5073353012' 'A5008624833'
 'A5049397410']",2015
W1446778162,I172901346,['A5083226407' 'A5087718829'],2015
W2743615400,I172901346,['A5061814184'],2017
W2189305778,I172901346,['A5050383736'],2015
W2230327251,I172901346,['A5046182095' 'A5037013186'],2015
W2292222851,I172901346,['A5029374167' 'A5072894139' 'A5054780151' 'A5043764231' 'A5050849495'],2016
W3003436482,I172901346,['A5032315796'],2016
W3011386319,I172901346,['A5102210025'],2019
W3034416024,I172901346,['A5050889083' 'A5038887374'],2015
W3174048371,I172901346,['A5025964748'],2019
W2920933512,I172901346,['A5004872883' 'A5002336595'],2019
W2808492717,I172901346,['A5076472537'],2018
W2799512437,I172901346,['A5011495268' 'A5064095602' 'A5073236114'],2018
W2923224895,I172901346,['A5004775259'],2018
W4362596063,I172901346,['A5038198840' 'A5009474379'],2023
W4385357022,I172901346,['A5064095602' 'A5049341154' 'A5011495268' 'A5073236114' 'A5022663996'],2023
W2964105754,I172901346,['A5113829704' 'A5109428366'],2019
W3036305635,I172901346,['A5020236566' 'A5049816000'],2020
W4362665569,I172901346,['A5033482000'],2023
W3217537137,I172901346,['A5107311235'],2021
W4392806739,I172901346,['A5054362085' 'A5112354968' 'A5014311987'],2023
W3128375688,I172901346,"['A5050557480' 'A5059457823' 'A5029392627' 'A5010311487' 'A5036107148'
 'A5025268957']",2021
W2962511708,I172901346,['A5055255578' 'A5058229050'],2021
W3098297851,I172901346,['A5000342321' 'A5040970939'],2019
W4306292027,I172901346,['A5076880544' 'A5018310469'],2022
W3154494496,I172901346,['A5071347106'],2021
W2501724955,I172901346,['A5012751417'],2016
W2669009354,I172901346,['A5007017017'],2017
W4220936058,I172901346,['A5069461021'],2022
W4221058491,I172901346,['A5028750791'],2022
W4224030974,I172901346,['A5067810553'],2022
W4224235669,I172901346,['A5069374924'],2022
W4225930687,I172901346,['A5082798831'],2022
W4226157933,I172901346,['A5018710495' 'A5038687552' 'A5055108133'],2022
W4226451362,I172901346,['A5020412825'],2022
W4226459231,I172901346,['A5079728421'],2022
W2560925996,I172901346,['A5103031419' 'A5036731834' 'A5055491068'],2016
W4362690435,I172901346,['A5063940980'],2023
W4372237457,I172901346,['A5019181406' 'A5091336917'],2023
W2934153607,I172901346,['A5054606157'],2019
W4388304788,I172901346,['A5015280109' 'A5047731086' 'A5060867109' 'A5092661220'],2023
W3036704222,I172901346,['A5010877927'],2020
W3028632813,I172901346,['A5018985329' 'A5028922234'],2020
W3044998525,I172901346,['A5101263606'],2020
W3083531773,I172901346,['A5034893368' 'A5068861897'],2020
W3117483959,I172901346,['A5075791967'],2018
W3118105069,I172901346,['A5059158511'],2021
W3127212051,I172901346,['A5089772973' 'A5026764193' 'A5031197956' 'A5101869616' 'A5089536848'],2021
W3193282474,I172901346,['A5000956419' 'A5060405240'],2021
W3204785103,I172901346,"['A5021588311' 'A5028169517' 'A5103641875' 'A5031340821' 'A5038956641'
 'A5088426916' 'A5062179498']",2021
W4224918101,I172901346,['A5047760532' 'A5030633979'],2022
W2776136281,I172901346,['A5033482000' 'A5091635071' 'A5036873476'],2017
W4312201518,I172901346,['A5028791836'],2022
W2763704320,I172901346,['A5010839364' 'A5069875761'],2017
W2384774987,I172901346,['A5065458320'],2016
W2982654875,I172901346,['A5082446437'],2019
W1133464023,I172901346,['A5011332346' 'A5082264608' 'A5112375372' 'A5030916028'],2015
W4300594484,I172901346,['A5001115050' 'A5049468217' 'A5071857222' 'A5112869950' 'A5019548894'],2022
W4307134044,I172901346,['A5011958530'],2022
W4310134801,I172901346,['A5010939884'],2022
W4313163049,I172901346,['A5062829913'],2020
W4318197187,I172901346,['A5013328047'],2023
W4322578117,I172901346,['A5053609123' 'A5054236681' 'A5091787952' 'A5013441451' 'A5086252269'],2022
W4323772140,I172901346,['A5007905627'],2023
W4324117817,I172901346,['A5036772985'],2022
W4378214945,I172901346,['A5067423106' 'A5113979239' 'A5043356055' 'A5018237098' 'A5025217016'],2023
W2805794753,I172901346,['A5011831418' 'A5017042174' 'A5027145290'],2018
W2884843770,I172901346,['A5069381191'],2018
W2905796317,I172901346,['A5030003823' 'A5021342477'],2016
W2907096535,I172901346,['A5083501821' 'A5071400738' 'A5015867111' 'A5037090947'],2018
W2910035195,I172901346,['A5004329699' 'A5040837407'],2019
W2950953165,I172901346,['A5049458503' 'A5057055679' 'A5004110989' 'A5090131476' 'A5024132763'],2016
W2980905438,I172901346,['A5002760360'],2019
W3008536921,I172901346,['A5004872935' 'A5101566227' 'A5110668833' 'A5049105353' 'A5066362954'],2016
W4395702137,I172901346,['A5086594119' 'A5082501828'],2024
W4399323486,I172901346,['A5072894139' 'A5093884353' 'A5043764231'],2024
W4400909035,I172901346,"['A5037014564' 'A5078230759' 'A5086422032' 'A5023644717' 'A5090803623'
 'A5067396520' 'A5068583136']",2024
W4399228241,I172901346,['A5037142588'],2024
W4400086369,I172901346,['A5055931264'],2024
W2587363144,I172901346,['A5093276602'],2016
W2601052759,I172901346,['A5005523800' 'A5063856037'],2017
W2605184796,I172901346,['A5030289089'],2017
W3108550752,I172901346,['A5010603425' 'A5091432901' 'A5071347106'],2020
W2765124971,I172901346,['A5067606425' 'A5020072191' 'A5002579881'],2017
W2781957625,I172901346,['A5050719921'],2017
W2921910874,I172901346,['A5036913058' 'A5033723699' 'A5072654278' 'A5067975410'],2019
W3021545682,I172901346,['A5111200236' 'A5085227127' 'A5046688610'],2020
W3123949274,I172901346,['A5110256046' 'A5022435647'],2020
W3127492854,I172901346,['A5016962050' 'A5072243393' 'A5072524139' 'A5000407602'],2021
W3168539563,I172901346,['A5011473996' 'A5047703127'],2021
W3170743277,I172901346,['A5109596561' 'A5006525806' 'A5032527903'],2021
W3174516080,I172901346,['A5102481350' 'A5110779680'],2021
W3201409911,I172901346,['A5041407488'],2021
W1790884147,I172901346,['A5045666298' 'A5068967925' 'A5011201234'],2015
W3212377341,I172901346,['A5026102540'],2019
W4391643489,I172901346,['A5073236114' 'A5071843867'],2024
W4393988753,I172901346,['A5000509633'],2024
W4395464101,I172901346,['A5081723539' 'A5069121423'],2024
W2944973684,I172901346,['A5053351584' 'A5065205333'],2019
W2951498377,I172901346,"['A5049458503' 'A5044952613' 'A5103699391' 'A5006988994' 'A5044560831'
 'A5055660594' 'A5089555277']",2016
W2955413179,I172901346,['A5010159041'],2019
W2975585937,I172901346,['A5083955052'],2019
W4243364041,I172901346,['A5072766423'],2021
W2516288339,I172901346,['A5049426329' 'A5060471666' 'A5071910684'],2016
W2518898066,I172901346,['A5009721660' 'A5085929652' 'A5008732355' 'A5053290910' 'A5076463431'],2016
W2520420894,I172901346,['A5080768300'],2016
W2531496041,I172901346,['A5053120138' 'A5003474407'],2016
W2549793027,I172901346,['A5004271639' 'A5021924074'],2016
W2557248748,I172901346,['A5002615729'],2016
W4405840941,I172901346,['A5092642772'],2024
W2542129052,I172901346,['A5077118699'],2017
W2921219017,I172901346,['A5025222169'],2019
W2193647305,I172901346,['A5008147159'],2016
W4280520689,I172901346,['A5028566129'],2022
W4280614538,I172901346,['A5052909099'],2022
W4281664195,I172901346,['A5023950095' 'A5076862766' 'A5032684754'],2022
W4285229665,I172901346,['A5100414294'],2022
W2966988513,I172901346,['A5002486749'],2019
W3196682344,I172901346,['A5012967296'],2021
W4246007601,I172901346,"['A5082644580' 'A5082644580' 'A5050998381' 'A5050998381' 'A5103811313'
 'A5046269910' 'A5101642642' 'A5101642642']",2018
W3122752995,I172901346,['A5082794330'],2017
W4400822135,I172901346,['A5110554351' 'A5103313314'],2024
W4400844739,I172901346,['A5061778129'],2024
W4400863280,I172901346,['A5001334938' 'A5083742384'],2024
W4401358179,I172901346,['A5085691989' 'A5111098787' 'A5000014409' 'A5021716337'],2024
W3132023389,I172901346,['A5065810893'],2021
W4239856728,I172901346,['A5006474392'],2019
W2982138714,I172901346,"['A5074738902' 'A5102905134' 'A5043077089' 'A5052546206' 'A5109439958'
 'A5032141346' 'A5079405534' 'A5103873524' 'A5038705110']",2019
W2978624805,I172901346,['A5004793511'],2019
W2980225293,I172901346,['A5048753099' 'A5046963561'],2019
W2300721460,I172901346,['A5089653152' 'A5015584307'],2015
W3164589231,I172901346,['A5087877536'],2020
W4386318166,I172901346,['A5103400591' 'A5071092317'],2023
W3004181615,I172901346,['A5000244867'],2020
W4228998514,I172901346,['A5039294488'],2022
W2519319176,I172901346,['A5082446437' 'A5009485369'],2016
W4389364273,I172901346,['A5093427236' 'A5091357063' 'A5035154073'],2023
W4390612466,I172901346,['A5035611017'],2023
W4391221469,I172901346,['A5012472714'],2024
W4391755387,I172901346,['A5100380015'],2024
W4392850889,I172901346,['A5078699565' 'A5047864215' 'A5071041680'],2024
W4393525988,I172901346,['A5042713027'],2021
W4246057761,I172901346,['A5095395171'],2018
W2791529722,I172901346,['A5016989224'],2016
W2550669186,I172901346,['A5009485369' 'A5007491554'],2016
W2771627116,I172901346,['A5021995697' 'A5044125311' 'A5046269910'],2017
W3093825539,I172901346,['A5019601130'],2020
W2805427095,I172901346,['A5004775259'],2018
W2967068643,I172901346,['A5066286477'],2016
W3016762724,I172901346,['A5083523938' 'A5042485105' 'A5028419396' 'A5020936199' 'A5042128641'],2020
W3023467364,I172901346,['A5050889083'],2015
W3025826236,I172901346,['A5074738902'],2019
W1481431243,I172901346,['A5007972728'],2015
W4224088704,I172901346,['A5045953914'],2022
W4394001015,I172901346,"['A5049341154' 'A5011495268' 'A5109439386' 'A5067061182' 'A5080207533'
 'A5022663996' 'A5064095602']",2024
W3208857728,I172901346,['A5074738902'],2021
W4319436395,I172901346,['A5040635947' 'A5072305146' 'A5057205556' 'A5014702764'],2022
W4393977092,I172901346,['A5069233288'],2024
W4399531657,I172901346,['A5049473823'],2024
W2738215369,I172901346,['A5113703745' 'A5054362085' 'A5008321837'],2017
W2803081123,I172901346,['A5061403155' 'A5103732328' 'A5074091563'],2018
W2894905453,I172901346,['A5045172496' 'A5012913220'],2018
W2896747373,I172901346,['A5048073029' 'A5083006864'],2018
W2977302951,I172901346,['A5080977802'],2019
W2989819308,I172901346,['A5060382759' 'A5058655847' 'A5037291729' 'A5004051223'],2019
W2990003880,I172901346,['A5063326851'],2019
W4308985024,I172901346,['A5057812000'],2022
W2789959182,I172901346,['A5002499751'],2018
W4393885016,I172901346,['A5000001625' 'A5055179483' 'A5081181392'],2020
W4394813300,I172901346,['A5075547073'],2023
W4401686460,I172901346,['A5049426329' 'A5021447169'],2024
W4404125786,I172901346,['A5101512344'],2024
W2934017119,I172901346,['A5025516565' 'A5018920230' 'A5084294824'],2019
W2954602206,I172901346,['A5079986394' 'A5033633949'],2019
W4232194571,I172901346,['A5066700628'],2021
W4281717847,I172901346,['A5083395536' 'A5044046995'],2022
W2755453842,I172901346,['A5087691744'],2017
W3106722475,I172901346,['A5043379761' 'A5055163822' 'A5070474329'],2020
W2793635154,I172901346,['A5039902438'],2018
W2316295596,I172901346,['A5011625918' 'A5110642985' 'A5030344746' 'A5064187808' 'A5082816950'],2016
W2996346207,I172901346,['A5009507789' 'A5067606425' 'A5020072191'],2019
W2756176274,I172901346,['A5036455815' 'A5091336917' 'A5064864262'],2017
W3128534053,I172901346,['A5070828812' 'A5003474189' 'A5078623222'],2021
W3191168585,I172901346,['A5032651836' 'A5049999143'],2021
W4403684799,I172901346,['A5021976012'],2024
W2888388927,I172901346,['A5045953410'],2018
W2949948034,I172901346,['A5013815416' 'A5040657525' 'A5041650068'],2016
W2185933665,I172901346,['A5018710495' 'A5013667913' 'A5051837196' 'A5084120898' 'A5030503766'],2015
